City,State,Year,City Totals,Rank
Alameda,California,1992,229,4.0
Alameda,California,1993,215,4.0
Alameda,California,1995,215,3.0
Alameda,California,1991,211,4.0
Alameda,California,1990,209,4.0
Alameda,California,1994,199,4.0
Alameda,California,1989,191,3.0
Alameda,California,1986,190,3.0
Alameda,California,1980,185,2.0
Alameda,California,2006,178,2.0
Alameda,California,1987,173,3.0
Alameda,California,1981,167,2.0
Alameda,California,1988,166,3.0
Alameda,California,2007,163,3.0
Alameda,California,1984,160,3.0
Alameda,California,1985,159,3.0
Alameda,California,2012,157,2.0
Alameda,California,1997,155,3.0
Alameda,California,2002,154,3.0
Alameda,California,1996,152,4.0
Alameda,California,1982,147,2.0
Alameda,California,2003,146,3.0
Alameda,California,2008,146,2.0
Alameda,California,1983,144,2.0
Alameda,California,2009,141,2.0
Alameda,California,2011,139,2.0
Alameda,California,2010,137,2.0
Alameda,California,2005,132,3.0
Alameda,California,2004,124,4.0
Alameda,California,1998,119,3.0
Alameda,California,2000,118,3.0
Alameda,California,2013,116,3.0
Alameda,California,2001,109,3.0
Alameda,California,2014,108,3.0
Alameda,California,1999,97,5.0
Alpine,California,1980,1,51.0
Alpine,California,1984,1,50.0
Alpine,California,1986,1,48.0
Alpine,California,1988,1,50.0
Alpine,California,2007,1,45.0
Alpine,California,2008,1,42.0
Amador,California,1984,4,39.0
Amador,California,1987,4,39.0
Amador,California,1985,3,43.0
Amador,California,2011,3,36.0
Amador,California,1992,2,43.0
Amador,California,1993,2,41.0
Amador,California,2004,2,40.0
Amador,California,2006,2,40.0
Amador,California,1986,1,48.0
Amador,California,1989,1,44.0
Amador,California,1999,1,43.0
Amador,California,2000,1,46.0
Amador,California,2009,1,42.0
Amador,California,2010,1,42.0
Amador,California,2014,1,47.0
Butte,California,1987,17,21.0
Butte,California,1992,16,20.0
Butte,California,2013,16,20.0
Butte,California,1990,14,23.0
Butte,California,2006,14,22.0
Butte,California,2012,13,20.0
Butte,California,1989,12,24.0
Butte,California,1991,12,24.0
Butte,California,1996,12,23.0
Butte,California,2001,12,23.0
Butte,California,2003,12,23.0
Butte,California,2005,12,21.0
Butte,California,2014,12,22.0
Butte,California,2009,11,21.0
Butte,California,1982,10,25.0
Butte,California,1997,10,22.0
Butte,California,2007,10,24.0
Butte,California,2011,9,24.0
Butte,California,1998,8,26.0
Butte,California,2000,8,23.0
Butte,California,1980,7,33.0
Butte,California,1986,7,31.0
Butte,California,1993,7,31.0
Butte,California,2008,7,27.0
Butte,California,2010,7,24.0
Butte,California,1988,6,31.0
Butte,California,1994,6,32.0
Butte,California,1995,6,33.0
Butte,California,2004,6,26.0
Butte,California,1983,5,34.0
Butte,California,1984,5,35.0
Butte,California,1985,5,36.0
Butte,California,1981,4,37.0
Butte,California,1999,4,30.0
Butte,California,2002,4,34.0
Calaveras,California,1985,19,18.0
Calaveras,California,1987,5,36.0
Calaveras,California,1988,5,35.0
Calaveras,California,1992,5,35.0
Calaveras,California,1996,5,31.0
Calaveras,California,2013,5,31.0
Calaveras,California,1984,4,39.0
Calaveras,California,1990,4,40.0
Calaveras,California,1994,4,35.0
Calaveras,California,2000,4,33.0
Calaveras,California,1986,3,41.0
Calaveras,California,1991,3,42.0
Calaveras,California,1995,3,41.0
Calaveras,California,2004,3,35.0
Calaveras,California,1981,2,43.0
Calaveras,California,1982,2,45.0
Calaveras,California,1983,2,43.0
Calaveras,California,1997,2,41.0
Calaveras,California,1998,2,41.0
Calaveras,California,2001,2,40.0
Calaveras,California,2002,2,39.0
Calaveras,California,2003,2,38.0
Calaveras,California,2005,2,42.0
Calaveras,California,2006,2,40.0
Calaveras,California,2008,2,41.0
Calaveras,California,1989,1,44.0
Calaveras,California,1993,1,49.0
Calaveras,California,2009,1,42.0
Calaveras,California,2010,1,42.0
Calaveras,California,2011,1,48.0
Colusa,California,2000,4,33.0
Colusa,California,1986,3,41.0
Colusa,California,1997,3,40.0
Colusa,California,1999,3,36.0
Colusa,California,1980,2,46.0
Colusa,California,1985,2,46.0
Colusa,California,1993,2,41.0
Colusa,California,1981,1,46.0
Colusa,California,1982,1,50.0
Colusa,California,1983,1,47.0
Colusa,California,1987,1,50.0
Colusa,California,1988,1,50.0
Colusa,California,1990,1,47.0
Colusa,California,1991,1,48.0
Colusa,California,1992,1,47.0
Colusa,California,1994,1,48.0
Colusa,California,1995,1,46.0
Colusa,California,1998,1,43.0
Colusa,California,2007,1,45.0
Colusa,California,2008,1,42.0
Colusa,California,2009,1,42.0
Colusa,California,2011,1,48.0
Colusa,California,2012,1,42.0
Contra Costa,California,1994,125,9.0
Contra Costa,California,1993,120,10.0
Contra Costa,California,1991,113,8.0
Contra Costa,California,2007,103,6.0
Contra Costa,California,2006,98,7.0
Contra Costa,California,2009,93,5.0
Contra Costa,California,1992,89,10.0
Contra Costa,California,1995,84,10.0
Contra Costa,California,2005,82,10.0
Contra Costa,California,1989,81,8.0
Contra Costa,California,1996,79,10.0
Contra Costa,California,2003,79,7.0
Contra Costa,California,2004,77,9.0
Contra Costa,California,2008,76,8.0
Contra Costa,California,1988,75,9.0
Contra Costa,California,1990,74,11.0
Contra Costa,California,2010,73,8.0
Contra Costa,California,2011,70,9.0
Contra Costa,California,1984,69,11.0
Contra Costa,California,1985,67,11.0
Contra Costa,California,1997,65,10.0
Contra Costa,California,2012,63,11.0
Contra Costa,California,1999,62,9.0
Contra Costa,California,2000,62,7.0
Contra Costa,California,1998,58,11.0
Contra Costa,California,1981,57,13.0
Contra Costa,California,1982,57,13.0
Contra Costa,California,1987,56,11.0
Contra Costa,California,2001,55,10.0
Contra Costa,California,1986,53,13.0
Contra Costa,California,2014,53,11.0
Contra Costa,California,1980,52,13.0
Contra Costa,California,2002,52,12.0
Contra Costa,California,1983,50,11.0
Contra Costa,California,2013,47,13.0
Del Norte,California,1983,5,34.0
Del Norte,California,1988,5,35.0
Del Norte,California,1991,4,40.0
Del Norte,California,1980,3,40.0
Del Norte,California,1984,3,43.0
Del Norte,California,1985,3,43.0
Del Norte,California,1992,3,41.0
Del Norte,California,2010,3,34.0
Del Norte,California,1981,2,43.0
Del Norte,California,1982,2,45.0
Del Norte,California,1986,2,45.0
Del Norte,California,1987,2,45.0
Del Norte,California,1994,2,40.0
Del Norte,California,1997,2,41.0
Del Norte,California,2002,2,39.0
Del Norte,California,2007,2,40.0
Del Norte,California,2011,2,42.0
Del Norte,California,1989,1,44.0
Del Norte,California,1990,1,47.0
Del Norte,California,1993,1,49.0
Del Norte,California,1999,1,43.0
Del Norte,California,2000,1,46.0
Del Norte,California,2001,1,41.0
Del Norte,California,2004,1,44.0
Del Norte,California,2005,1,45.0
Del Norte,California,2009,1,42.0
Del Norte,California,2012,1,42.0
Del Norte,California,2013,1,48.0
Del Norte,California,2014,1,47.0
El Dorado,California,1991,14,23.0
El Dorado,California,1987,10,27.0
El Dorado,California,1990,10,31.0
El Dorado,California,1980,9,30.0
El Dorado,California,1982,9,27.0
El Dorado,California,1986,9,29.0
El Dorado,California,1992,9,27.0
El Dorado,California,1994,9,27.0
El Dorado,California,1985,8,29.0
El Dorado,California,2008,8,24.0
El Dorado,California,1981,7,28.0
El Dorado,California,1983,7,29.0
El Dorado,California,1984,7,30.0
El Dorado,California,1997,7,27.0
El Dorado,California,1998,7,31.0
El Dorado,California,1988,6,31.0
El Dorado,California,2001,6,27.0
El Dorado,California,2006,6,29.0
El Dorado,California,2007,6,28.0
El Dorado,California,2013,6,27.0
El Dorado,California,1993,5,33.0
El Dorado,California,1995,5,36.0
El Dorado,California,2002,5,28.0
El Dorado,California,2005,5,27.0
El Dorado,California,2010,5,28.0
El Dorado,California,2012,5,29.0
El Dorado,California,1989,4,35.0
El Dorado,California,2000,4,33.0
El Dorado,California,2011,4,33.0
El Dorado,California,1999,3,36.0
El Dorado,California,2003,3,36.0
El Dorado,California,2004,3,35.0
El Dorado,California,2009,3,34.0
El Dorado,California,2014,3,38.0
El Dorado,California,1996,2,39.0
Fresno,California,1992,138,7.0
Fresno,California,1993,138,8.0
Fresno,California,1994,131,8.0
Fresno,California,1995,116,8.0
Fresno,California,1980,111,7.0
Fresno,California,1990,100,8.0
Fresno,California,1996,99,8.0
Fresno,California,1986,96,8.0
Fresno,California,1991,92,10.0
Fresno,California,1997,92,8.0
Fresno,California,1985,89,7.0
Fresno,California,2005,84,8.0
Fresno,California,2012,83,8.0
Fresno,California,2006,78,10.0
Fresno,California,2007,78,10.0
Fresno,California,2009,78,9.0
Fresno,California,2004,77,9.0
Fresno,California,1982,76,8.0
Fresno,California,1984,76,9.0
Fresno,California,1989,71,10.0
Fresno,California,1983,70,10.0
Fresno,California,1987,70,9.0
Fresno,California,1988,70,12.0
Fresno,California,2002,70,9.0
Fresno,California,1981,68,11.0
Fresno,California,2003,68,10.0
Fresno,California,2014,68,10.0
Fresno,California,2010,67,10.0
Fresno,California,2008,65,10.0
Fresno,California,2013,62,8.0
Fresno,California,2001,61,9.0
Fresno,California,1998,60,9.0
Fresno,California,2011,55,11.0
Fresno,California,1999,47,11.0
Fresno,California,2000,40,11.0
Glenn,California,1984,4,39.0
Glenn,California,1989,3,38.0
Glenn,California,1998,3,39.0
Glenn,California,1980,2,46.0
Glenn,California,1982,2,45.0
Glenn,California,1985,2,46.0
Glenn,California,1987,2,45.0
Glenn,California,1991,2,44.0
Glenn,California,1993,2,41.0
Glenn,California,2003,2,38.0
Glenn,California,2007,2,40.0
Glenn,California,2011,2,42.0
Glenn,California,1996,1,44.0
